Date,Open,High,Low,Close,Adj Close,Volume
2013-10-30,29700.000000,30000.000000,29680.000000,30000.000000,41.274914,10588400
2013-10-31,29960.000000,30040.000000,29300.000000,29300.000000,40.311840,12647050
2013-11-01,29800.000000,30000.000000,29360.000000,30000.000000,41.274914,11357700
2013-11-04,29840.000000,30040.000000,29780.000000,29980.000000,41.247398,10887800
2013-11-05,30040.000000,30040.000000,29440.000000,29700.000000,40.862167,8009300
2013-11-06,29960.000000,29960.000000,28980.000000,29020.000000,39.926601,12218400
2013-11-07,29020.000000,29080.000000,28500.000000,28740.000000,39.541370,13006800
2013-11-08,28220.000000,28560.000000,28140.000000,28200.000000,38.798420,13681350
2013-11-11,28500.000000,28680.000000,28180.000000,28560.000000,39.293724,8563850
2013-11-12,28800.000000,29320.000000,28720.000000,29120.000000,40.064182,9784900
2013-11-13,28900.000000,28980.000000,28380.000000,28380.000000,39.046070,9995200
2013-11-14,29100.000000,29100.000000,28480.000000,28480.000000,39.183655,10132150
2013-11-15,28680.000000,29240.000000,28640.000000,29240.000000,40.229286,8339250
2013-11-18,29400.000000,29520.000000,29300.000000,29480.000000,40.559483,6386800
2013-11-19,29660.000000,29780.000000,29540.000000,29780.000000,40.972229,8183550
2013-11-20,29460.000000,29740.000000,29280.000000,29400.000000,40.449413,8178150
2013-11-21,29440.000000,29440.000000,28640.000000,28800.000000,39.623913,9019800
2013-11-22,28820.000000,29120.000000,28620.000000,29000.000000,39.899090,8574600
2013-11-25,29020.000000,29440.000000,29020.000000,29300.000000,40.311840,6615300
2013-11-26,29160.000000,29580.000000,29100.000000,29580.000000,40.697071,8586250
2013-11-27,29340.000000,29520.000000,29200.000000,29400.000000,40.449413,9351700
2013-11-28,29600.000000,29880.000000,29580.000000,29880.000000,41.109814,10644900
2013-11-29,29980.000000,29980.000000,29700.000000,29880.000000,41.109814,6752200
2013-12-02,30000.000000,30060.000000,29340.000000,29340.000000,40.366867,7487800
2013-12-03,29280.000000,29560.000000,29140.000000,29220.000000,40.201763,7798600
2013-12-04,29000.000000,29060.000000,28620.000000,28640.000000,39.403786,10844000
2013-12-05,28660.000000,28920.000000,28440.000000,28800.000000,39.623913,10479650
2013-12-06,29080.000000,29080.000000,28560.000000,28560.000000,39.293724,9147450
2013-12-09,28800.000000,29080.000000,28800.000000,29080.000000,40.009151,6996900
2013-12-10,28820.000000,29020.000000,28620.000000,28800.000000,39.623913,7755600
2013-12-11,28520.000000,28880.000000,28320.000000,28400.000000,39.073589,10629150
