Date,Open,High,Low,Close,Volume,Market Cap
31.Oct.17,307.38,310.55,305.88,305.88,"369,583,008.00","29,331,517,440.00"
1.Nov.17,305.76,306.40,290.58,291.69,"553,864,000.00","29,183,592,448.00"
2.Nov.17,290.73,293.91,281.17,287.43,"904,900,992.00","27,754,237,952.00"
3.Nov.17,288.50,308.31,287.69,305.71,"646,339,968.00","27,547,410,432.00"
4.Nov.17,305.48,305.48,295.80,300.47,"416,479,008.00","29,175,347,200.00"
5.Nov.17,300.04,301.37,295.12,296.26,"337,657,984.00","28,661,499,904.00"
6.Nov.17,296.43,305.42,293.72,298.89,"579,358,976.00","28,322,701,312.00"
7.Nov.17,298.57,304.84,290.77,294.66,"540,766,016.00","28,533,338,112.00"
8.Nov.17,294.27,318.70,293.10,309.07,"967,955,968.00","28,128,708,608.00"
9.Nov.17,308.64,329.45,307.06,320.88,"893,249,984.00","29,508,962,304.00"
10.Nov.17,320.67,324.72,294.54,299.25,"885,985,984.00","30,665,191,424.00"
11.Nov.17,298.59,319.45,298.19,314.68,"842,300,992.00","28,559,437,824.00"
12.Nov.17,314.69,319.15,298.51,307.91,"1,613,479,936.00","30,106,191,872.00"
13.Nov.17,307.02,328.42,307.02,316.72,"1,041,889,984.00","29,379,016,704.00"
14.Nov.17,316.76,340.18,316.76,337.63,"1,069,680,000.00","30,317,289,472.00"
15.Nov.17,337.96,340.91,329.81,333.36,"722,665,984.00","32,353,241,088.00"
16.Nov.17,333.44,336.16,323.61,330.92,"797,254,016.00","31,927,291,904.00"
17.Nov.17,330.17,334.96,327.52,332.39,"621,732,992.00","31,620,308,992.00"
18.Nov.17,331.98,349.62,327.69,347.61,"649,638,976.00","31,800,690,688.00"
19.Nov.17,347.40,371.29,344.74,354.39,"1,181,529,984.00","33,284,902,912.00"
20.Nov.17,354.09,372.14,353.29,366.73,"807,027,008.00","33,933,447,168.00"
21.Nov.17,367.44,372.47,350.69,360.40,"949,912,000.00","35,220,160,512.00"
22.Nov.17,360.31,381.42,360.15,380.65,"800,819,008.00","34,544,005,120.00"
23.Nov.17,381.44,425.55,376.09,410.17,"1,845,680,000.00","36,577,304,576.00"
24.Nov.17,412.50,480.97,402.76,474.91,"2,292,829,952.00","39,564,333,056.00"
25.Nov.17,475.68,485.19,461.05,466.28,"1,422,080,000.00","45,633,404,928.00"
26.Nov.17,465.97,472.72,451.61,471.33,"1,197,779,968.00","44,712,116,224.00"
27.Nov.17,471.53,493.40,468.48,480.36,"1,396,480,000.00","45,254,983,680.00"
28.Nov.17,480.52,482.48,466.35,472.90,"1,346,499,968.00","46,127,161,344.00"
29.Nov.17,473.28,522.31,425.07,427.52,"2,675,940,096.00","45,442,129,920.00"
30.Nov.17,431.21,465.50,401.24,447.11,"1,903,040,000.00","41,411,944,448.00"
1.Dec.17,445.21,472.61,428.31,466.54,"1,247,879,936.00","42,764,972,032.00"
2.Dec.17,466.85,476.24,456.65,463.45,"943,649,984.00","44,853,297,152.00"
3.Dec.17,463.70,482.81,451.85,465.85,"990,556,992.00","44,560,453,632.00"
4.Dec.17,466.05,474.78,453.31,470.20,"1,005,550,016.00","44,795,654,144.00"
5.Dec.17,470.29,473.56,457.66,463.28,"1,216,720,000.00","45,212,790,784.00"
6.Dec.17,462.60,462.71,420.21,428.59,"1,998,259,968.00","44,483,092,480.00"
7.Dec.17,426.37,441.40,414.41,434.41,"2,129,570,048.00","41,007,566,848.00"
8.Dec.17,434.99,466.06,422.37,456.03,"2,336,379,904.00","41,845,780,480.00"
9.Dec.17,457.34,504.15,456.25,473.50,"2,003,849,984.00","44,005,625,856.00"
10.Dec.17,472.79,472.79,429.51,441.72,"1,404,179,968.00","45,501,435,904.00"
11.Dec.17,440.36,516.97,439.10,515.14,"1,771,440,000.00","42,389,250,048.00"
12.Dec.17,522.29,657.32,504.49,651.43,"5,179,829,760.00","50,286,358,528.00"
13.Dec.17,644.91,747.99,597.80,702.77,"4,524,539,904.00","62,105,632,768.00"
